"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"27","107 Village Green Ln",2018-08-02,327.736,1510,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2018,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"28","1 W Dayton St",2019-02-28,258,1410,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2019,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"29","1726 Eagen Rd",2019-01-16,506.222,2120,NA,"Starkweather Creek","1726 Eagen Rd Madison, WI","indoor",NA,"y",2019,43.12484,-89.30882,c(-89.30882, 43.12484)
"30","1754 Thierer Rd",2011-01-06,190.214,1040,NA,"Starkweather Creek","1754 Thierer Rd Madison, WI","indoor",NA,"y",2011,43.12301,-89.31347,c(-89.31347, 43.12301)
"31","1754 Thierer Rd",2014-01-21,263.364,1290,NA,"Starkweather Creek","1754 Thierer Rd Madison, WI","indoor",NA,"y",2014,43.12301,-89.31347,c(-89.31347, 43.12301)
"32","1754 Thierer Rd",2013-01-23,283.846,1360,NA,"Starkweather Creek","1754 Thierer Rd Madison, WI","indoor",NA,"y",2013,43.12301,-89.31347,c(-89.31347, 43.12301)
"33","1754 Thierer Rd",2018-01-18,336.514,1540,NA,"Starkweather Creek","1754 Thierer Rd Madison, WI","indoor",NA,"y",2018,43.12301,-89.31347,c(-89.31347, 43.12301)
"34","1754 Thierer Rd",2019-01-16,491.592,2070,NA,"Starkweather Creek","1754 Thierer Rd Madison, WI","indoor",NA,"y",2019,43.12301,-89.31347,c(-89.31347, 43.12301)
"35","2130 University Ave",2013-01-16,204.844,1090,NA,"University Bay Creek","2130 University Ave Madison, WI","indoor",NA,"y",2013,43.072582,-89.422806,c(-89.422806, 43.072582)
"36","2130 University Ave",2010-02-18,245.808,1230,NA,"University Bay Creek","2130 University Ave Madison, WI","indoor",NA,"y",2010,43.072582,-89.422806,c(-89.422806, 43.072582)
"37","1440 Monroe St",2011-01-06,210.696,1110,NA,"Monona Bay","1440 Monroe St Madison, WI","outdoor",NA,"y",2011,43.06803,-89.41244,c(-89.41244, 43.06803)
"38","22 S Carroll St",2013-01-17,219.474,1140,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,"y",2013,43.07371,-89.38502,c(-89.38502, 43.07371)
"39","22 S Carroll St",2015-01-15,231.178,1180,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,"y",2015,43.07371,-89.38502,c(-89.38502, 43.07371)
"40","2302 University Ave",2004-08-25,641.7,2260,NA,"University Bay Creek","2302 University Ave Madison, WI","indoor",NA,NA,2004,43.072296,-89.425766,c(-89.425766, 43.072296)
"41","2502 Crossroads Dr",2011-01-10,155.3946,921,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2011,43.133453,-89.2907,c(-89.2907, 43.133453)
"42","1 W Dayton St",2014-02-06,341,1690,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2014,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"43","1 W Dayton St",2012-02-27,388,1760,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2012,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"44","1 W Dayton St",2015-01-15,436,2080,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2015,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"45","1 W Dayton St",2017-01-12,496,1930,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2017,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"46","1080 N Pleasant View Rd",2009-07-01,196.066,1060,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,"y",2009,43.110325,-89.351265,c(-89.351265, 43.110325)
"47","1080 N Pleasant View Rd",2007-07-06,125.3,902,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2007,43.110325,-89.351265,c(-89.351265, 43.110325)
"48","1080 N Pleasant View Rd",2008-07-08,170.1,875,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2008,43.110325,-89.351265,c(-89.351265, 43.110325)
"49","1080 N Pleasant View Rd",2004-06-02,200.1,934,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2004,43.110325,-89.351265,c(-89.351265, 43.110325)
"50","1080 N Pleasant View Rd",2010-06-24,390,1520,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2010,43.110325,-89.351265,c(-89.351265, 43.110325)
