"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"290","802 Harbor House Dr",2018-08-30,133.157,845,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2018,43.049706,-89.50802,c(-89.50802, 43.049706)
"291","802 Harbor House Dr",2013-07-29,177.047,995,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2013,43.049706,-89.50802,c(-89.50802, 43.049706)
"292","802 Harbor House Dr",2010-07-09,177.9248,998,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2010,43.049706,-89.50802,c(-89.50802, 43.049706)
"293","802 Harbor House Dr",2011-07-21,242.882,1220,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2011,43.049706,-89.50802,c(-89.50802, 43.049706)
"294","802 Harbor House Dr",2015-08-25,289.698,1380,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2015,43.049706,-89.50802,c(-89.50802, 43.049706)
"295","802 Harbor House Dr",2016-08-16,289.698,1290,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2016,43.049706,-89.50802,c(-89.50802, 43.049706)
"296","802 Harbor House Dr",2017-08-08,386.256,1710,98420.706384,"Spring Harbor","802 Harbor House Dr Madison, WI","outdoor",NA,"y",2017,43.049706,-89.50802,c(-89.50802, 43.049706)
"297","803 N Thompson Dr",2017-07-13,129.9384,834,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2017,43.10878,-89.298676,c(-89.298676, 43.10878)
"298","803 N Thompson Dr",2011-06-16,146.0314,889,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2011,43.10878,-89.298676,c(-89.298676, 43.10878)
"299","803 N Thompson Dr",2010-06-10,157.4428,928,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2010,43.10878,-89.298676,c(-89.298676, 43.10878)
"300","803 N Thompson Dr",2009-07-22,157.7354,929,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2009,43.10878,-89.298676,c(-89.298676, 43.10878)
"301","803 N Thompson Dr",2013-07-11,160.0762,937,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2013,43.10878,-89.298676,c(-89.298676, 43.10878)
"302","803 N Thompson Dr",2014-07-23,163.2948,948,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2014,43.10878,-89.298676,c(-89.298676, 43.10878)
"303","803 N Thompson Dr",2018-08-02,196.066,1060,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2018,43.10878,-89.298676,c(-89.298676, 43.10878)
"304","803 N Thompson Dr",2016-08-02,225.326,1160,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2016,43.10878,-89.298676,c(-89.298676, 43.10878)
"305","803 N Thompson Dr",2015-08-11,254.586,1260,113562.35352,"Starkweather Creek","803 N Thompson Dr Madison, WI","outdoor",NA,"y",2015,43.10878,-89.298676,c(-89.298676, 43.10878)
"306","1124 N High Point Rd",2014-08-20,216.548,1130,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,"y",2014,43.082806,-89.519875,c(-89.519875, 43.082806)
"307","1124 N High Point Rd",2017-08-22,225.326,1160,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,"y",2017,43.082806,-89.519875,c(-89.519875, 43.082806)
"308","1124 N High Point Rd",2016-08-10,228.252,1170,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,"y",2016,43.082806,-89.519875,c(-89.519875, 43.082806)
"309","1124 N High Point Rd",2010-06-25,237.03,1200,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,"y",2010,43.082806,-89.519875,c(-89.519875, 43.082806)
"310","1124 N High Point Rd",2013-08-07,245.808,1230,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,"y",2013,43.082806,-89.519875,c(-89.519875, 43.082806)
"311","1124 N High Point Rd",2007-06-26,211.7,1013,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,NA,2007,43.082806,-89.519875,c(-89.519875, 43.082806)
"312","1124 N High Point Rd",2012-06-27,260,1230,NA,"Mendota","1124 N High Point Rd Madison, WI","outdoor",NA,NA,2012,43.082806,-89.519875,c(-89.519875, 43.082806)
"313","1253 John Q Hammons Dr",2010-03-03,511,1910,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2010,43.08542,-89.52406,c(-89.52406, 43.08542)
"314","1253 John Q Hammons Dr",2005-08-15,1244,4950,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2005,43.08542,-89.52406,c(-89.52406, 43.08542)
"315","1253 John Q Hammons Dr",2011-01-04,1430,5240,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2011,43.08542,-89.52406,c(-89.52406, 43.08542)
"316","1253 John Q Hammons Dr",2004-06-02,1444,5080,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2004,43.08542,-89.52406,c(-89.52406, 43.08542)
"317","1253 John Q Hammons Dr",2004-08-30,1562,5460,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2004,43.08542,-89.52406,c(-89.52406, 43.08542)
"318","1253 John Q Hammons Dr",2004-08-30,1568,5450,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2004,43.08542,-89.52406,c(-89.52406, 43.08542)
"319","1253 John Q Hammons Dr",2007-06-04,1581,6230,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2007,43.08542,-89.52406,c(-89.52406, 43.08542)
"320","1253 John Q Hammons Dr",2014-02-05,1680,6460,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2014,43.08542,-89.52406,c(-89.52406, 43.08542)
"321","1253 John Q Hammons Dr",2012-02-22,1740,6600,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2012,43.08542,-89.52406,c(-89.52406, 43.08542)
"322","98 Grand Canyon Dr",2009-07-02,170.6098,973,283905.8838,"Spring Harbor","98 Grand Canyon Dr Madison, WI","outdoor",NA,"y",2009,43.062344,-89.49664,c(-89.49664, 43.062344)
"323","98 Grand Canyon Dr",2014-08-13,201.918,1080,283905.8838,"Spring Harbor","98 Grand Canyon Dr Madison, WI","outdoor",NA,"y",2014,43.062344,-89.49664,c(-89.49664, 43.062344)
"324","98 Grand Canyon Dr",2011-07-08,213.622,1120,283905.8838,"Spring Harbor","98 Grand Canyon Dr Madison, WI","outdoor",NA,"y",2011,43.062344,-89.49664,c(-89.49664, 43.062344)
"325","98 Grand Canyon Dr",2013-08-07,348.218,1580,283905.8838,"Spring Harbor","98 Grand Canyon Dr Madison, WI","outdoor",NA,"y",2013,43.062344,-89.49664,c(-89.49664, 43.062344)
"326","1 HIgh Point Oaks Ln",2012-06-21,118,899,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,NA,2012,43.051147,-89.51766,c(-89.51766, 43.051147)
"327","1 HIgh Point Oaks Ln",2008-07-22,119.6,782,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,NA,2008,43.051147,-89.51766,c(-89.51766, 43.051147)
"328","1 HIgh Point Oaks Ln",2007-08-28,261,1122,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,NA,2007,43.051147,-89.51766,c(-89.51766, 43.051147)
"329","1 N Yellowstone Dr d",2011-07-27,573,2630,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2011,43.064796,-89.49341,c(-89.49341, 43.064796)
"330","1 N Yellowstone Dr m",2011-07-27,569,2600,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2011,43.064796,-89.49341,c(-89.49341, 43.064796)
"331","1 N Yellowstone Dr d",2012-07-12,375,1890,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2012,43.064796,-89.49341,c(-89.49341, 43.064796)
"332","1 N Yellowstone Dr m",2012-07-12,364,1840,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2012,43.064796,-89.49341,c(-89.49341, 43.064796)
"333","1 N Yellowstone Dr d",2013-08-08,327.736,1510,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,"y",2013,43.064796,-89.49341,c(-89.49341, 43.064796)
"334","1 N Yellowstone Dr m",2013-08-08,327.736,1510,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,"y",2013,43.064796,-89.49341,c(-89.49341, 43.064796)
"335","1 N Yellowstone Dr d",2014-08-13,453,2130,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2014,43.064796,-89.49341,c(-89.49341, 43.064796)
"336","1 N Yellowstone Dr m",2014-08-13,450,2150,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2014,43.064796,-89.49341,c(-89.49341, 43.064796)
"337","1 N Yellowstone Dr m",2015-08-27,120.2826,801,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,"y",2015,43.064796,-89.49341,c(-89.49341, 43.064796)
"338","1 N Yellowstone Dr d",2016-08-26,392.108,1730,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,"y",2016,43.064796,-89.49341,c(-89.49341, 43.064796)
"339","1 N Yellowstone Dr m",2016-08-26,337,1730,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2016,43.064796,-89.49341,c(-89.49341, 43.064796)
"340","1 N Yellowstone Dr d",2017-08-16,352,1720,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2017,43.064796,-89.49341,c(-89.49341, 43.064796)
"341","1 N Yellowstone Dr m",2017-08-16,368,1740,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2017,43.064796,-89.49341,c(-89.49341, 43.064796)
"342","1 N Yellowstone Dr m",2019-07-18,376,1930,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2019,43.064796,-89.49341,c(-89.49341, 43.064796)
"343","251 S Yellowstone Dr",2010-06-28,210.696,1110,NA,"Spring Harbor","251 S Yellowstone Dr Madison, WI","outdoor",NA,"y",2010,43.062965,-89.493484,c(-89.493484, 43.062965)
"344","251 S Yellowstone Dr",2011-07-08,239.956,1210,NA,"Spring Harbor","251 S Yellowstone Dr Madison, WI","outdoor",NA,"y",2011,43.062965,-89.493484,c(-89.493484, 43.062965)
"345","251 S Yellowstone Dr",2013-08-07,242.882,1220,NA,"Spring Harbor","251 S Yellowstone Dr Madison, WI","outdoor",NA,"y",2013,43.062965,-89.493484,c(-89.493484, 43.062965)
"346","251 S Yellowstone Dr",2014-08-13,277.994,1340,NA,"Spring Harbor","251 S Yellowstone Dr Madison, WI","outdoor",NA,"y",2014,43.062965,-89.493484,c(-89.493484, 43.062965)
"347","107 Village Green Ln",2003-08-14,206,1168,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2003,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"348","107 Village Green Ln",2012-06-12,255,1140,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2012,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"349","107 Village Green Ln",2007-07-23,327.7,1402,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2007,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"350","107 Village Green Ln",2005-08-17,331.6,1405,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2005,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"351","107 Village Green Ln",2017-07-13,341,1450,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2017,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"352","107 Village Green Ln",2019-07-09,401,1780,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2019,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"353","107 Village Green Ln",2015-08-11,402,1760,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2015,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"354","107 Village Green Ln",2016-08-04,433,1750,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,NA,2016,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"355","1253 John Q Hammons Dr",2013-01-24,1740,7030,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2013,43.08542,-89.52406,c(-89.52406, 43.08542)
"356","1253 John Q Hammons Dr",2016-03-01,1930,7270,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2016,43.08542,-89.52406,c(-89.52406, 43.08542)
"357","1253 John Q Hammons Dr",2019-02-06,1930,8020,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2019,43.08542,-89.52406,c(-89.52406, 43.08542)
"358","1253 John Q Hammons Dr",2015-01-14,2050,7850,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2015,43.08542,-89.52406,c(-89.52406, 43.08542)
"359","1253 John Q Hammons Dr",2017-01-05,2520,8680,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2017,43.08542,-89.52406,c(-89.52406, 43.08542)
"360","1253 John Q Hammons Dr",2018-02-01,2990,9880,NA,"Mendota","1253 John Q Hammons Dr Madison, WI","indoor",NA,NA,2018,43.08542,-89.52406,c(-89.52406, 43.08542)
"361","2 N Eau Claire Ave",2008-07-24,351.2,1483,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2008,43.069073,-89.46329,c(-89.46329, 43.069073)
"362","2 N Eau Claire Ave",2009-07-09,406,2340,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2009,43.069073,-89.46329,c(-89.46329, 43.069073)
"363","2 N Eau Claire Ave",2019-07-18,478,2260,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2019,43.069073,-89.46329,c(-89.46329, 43.069073)
"364","2 N Eau Claire Ave",2010-07-12,529,2250,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2010,43.069073,-89.46329,c(-89.46329, 43.069073)
"365","2 N Eau Claire Ave",2012-07-20,540,2330,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2012,43.069073,-89.46329,c(-89.46329, 43.069073)
"366","2 N Eau Claire Ave",2007-07-26,558,2120,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2007,43.069073,-89.46329,c(-89.46329, 43.069073)
"367","2 N Eau Claire Ave",2011-07-27,565,2450,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2011,43.069073,-89.46329,c(-89.46329, 43.069073)
"368","2 N Eau Claire Ave",2014-08-27,765,3230,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2014,43.069073,-89.46329,c(-89.46329, 43.069073)
"369","2 N Eau Claire Ave",2016-08-26,791,2980,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2016,43.069073,-89.46329,c(-89.46329, 43.069073)
"370","2 N Eau Claire Ave",2018-08-22,800,3030,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2018,43.069073,-89.46329,c(-89.46329, 43.069073)
"371","2 N Eau Claire Ave",2017-08-16,910,3420,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2017,43.069073,-89.46329,c(-89.46329, 43.069073)
"372","2 N Eau Claire Ave",2015-09-01,974,3920,NA,"Mendota","2 N Eau Claire Ave Madison, WI","outdoor",NA,NA,2015,43.069073,-89.46329,c(-89.46329, 43.069073)
"373","201 S Gammon Rd",2005-01-13,424.9,1762,NA,"Mendota","201 S Gammon Rd Madison, WI","indoor",NA,NA,2005,43.06429,-89.502655,c(-89.502655, 43.06429)
"374","201 S Gammon Rd",2007-01-19,586.6,2366,NA,"Mendota","201 S Gammon Rd Madison, WI","indoor",NA,NA,2007,43.06429,-89.502655,c(-89.502655, 43.06429)
"375","201 S Gammon Rd",2019-02-06,871,3060,NA,"Mendota","201 S Gammon Rd Madison, WI","indoor",NA,NA,2019,43.06429,-89.502655,c(-89.502655, 43.06429)
"376","238 Randolph Dr",2011-08-04,136.9608,858,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,"y",2011,43.061836,-89.51264,c(-89.51264, 43.061836)
"377","238 Randolph Dr",2010-06-25,254.586,1260,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,"y",2010,43.061836,-89.51264,c(-89.51264, 43.061836)
"378","238 Randolph Dr",2004-07-01,233.1,1055,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2004,43.061836,-89.51264,c(-89.51264, 43.061836)
"379","238 Randolph Dr",2007-07-06,241.6,1236,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2007,43.061836,-89.51264,c(-89.51264, 43.061836)
"380","238 Randolph Dr",2012-06-28,450,1740,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2012,43.061836,-89.51264,c(-89.51264, 43.061836)
"381","13 Cherokee Cir",2008-07-07,193.5,886,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2008,43.146015,-89.3637,c(-89.3637, 43.146015)
"382","13 Cherokee Cir",2007-08-08,226.1,1063,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2007,43.146015,-89.3637,c(-89.3637, 43.146015)
"383","13 Cherokee Cir",2012-06-12,233,1070,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2012,43.146015,-89.3637,c(-89.3637, 43.146015)
"384","13 Cherokee Cir",2004-06-30,236.6,1021,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2004,43.146015,-89.3637,c(-89.3637, 43.146015)
"385","13 Cherokee Cir",2017-07-11,569,2070,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2017,43.146015,-89.3637,c(-89.3637, 43.146015)
"386","13 Cherokee Cir",2014-07-10,631,2610,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2014,43.146015,-89.3637,c(-89.3637, 43.146015)
"387","13 Cherokee Cir",2015-08-12,803,2970,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2015,43.146015,-89.3637,c(-89.3637, 43.146015)
"388","13 Cherokee Cir",2016-08-02,1050,3490,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,NA,2016,43.146015,-89.3637,c(-89.3637, 43.146015)
"389","1436 Wheeler Rd",2004-06-01,198.4,926,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2004,43.148304,-89.36969,c(-89.36969, 43.148304)
"390","1436 Wheeler Rd",2011-06-16,273,1110,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2011,43.148304,-89.36969,c(-89.36969, 43.148304)
"391","1436 Wheeler Rd",2009-07-16,281,1260,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2009,43.148304,-89.36969,c(-89.36969, 43.148304)
"392","1436 Wheeler Rd",2008-07-07,287.6,1230,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2008,43.148304,-89.36969,c(-89.36969, 43.148304)
"393","1436 Wheeler Rd",2012-06-12,289,1230,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2012,43.148304,-89.36969,c(-89.36969, 43.148304)
"394","1436 Wheeler Rd",2007-08-08,313.5,1360,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2007,43.148304,-89.36969,c(-89.36969, 43.148304)
"395","1436 Wheeler Rd",2005-08-17,338.6,1390,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2005,43.148304,-89.36969,c(-89.36969, 43.148304)
"396","1436 Wheeler Rd",2014-07-10,533,2120,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2014,43.148304,-89.36969,c(-89.36969, 43.148304)
"397","1436 Wheeler Rd",2017-07-11,621,2310,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2017,43.148304,-89.36969,c(-89.36969, 43.148304)
"398","1436 Wheeler Rd",2018-08-02,799,3050,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2018,43.148304,-89.36969,c(-89.36969, 43.148304)
"399","1436 Wheeler Rd",2015-08-12,850,3010,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2015,43.148304,-89.36969,c(-89.36969, 43.148304)
"400","1436 Wheeler Rd",2016-08-03,1550,2560,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,NA,2016,43.148304,-89.36969,c(-89.36969, 43.148304)
"401","1515 Golf View Rd",2012-06-12,288,1280,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2012,43.149498,-89.3666,c(-89.3666, 43.149498)
"402","1515 Golf View Rd",2009-07-16,299,1320,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2009,43.149498,-89.3666,c(-89.3666, 43.149498)
"403","1515 Golf View Rd",2008-07-07,319.7,1332,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2008,43.149498,-89.3666,c(-89.3666, 43.149498)
"404","1515 Golf View Rd",2017-07-11,603,2200,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2017,43.149498,-89.3666,c(-89.3666, 43.149498)
"405","1515 Golf View Rd",2014-07-10,676,2490,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2014,43.149498,-89.3666,c(-89.3666, 43.149498)
"406","1515 Golf View Rd",2016-08-03,810,2980,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2016,43.149498,-89.3666,c(-89.3666, 43.149498)
"407","1515 Golf View Rd",2018-08-02,958,3550,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2018,43.149498,-89.3666,c(-89.3666, 43.149498)
"408","1515 Golf View Rd",2015-08-12,985,3560,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,NA,2015,43.149498,-89.3666,c(-89.3666, 43.149498)
"409","1818 Fordem Ave",2011-06-27,153.9316,916,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2011,43.096344,-89.36353,c(-89.36353, 43.096344)
"410","1818 Fordem Ave",2012-06-14,131,943,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,NA,2012,43.096344,-89.36353,c(-89.36353, 43.096344)
"411","1818 Fordem Ave",2013-07-11,108.286,760,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2013,43.096344,-89.36353,c(-89.36353, 43.096344)
"412","1818 Fordem Ave",2015-09-01,127.5976,826,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2015,43.096344,-89.36353,c(-89.36353, 43.096344)
"413","1818 Fordem Ave",2016-08-03,146.324,890,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2016,43.096344,-89.36353,c(-89.36353, 43.096344)
"414","1818 Fordem Ave",2017-07-11,216.548,1130,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2017,43.096344,-89.36353,c(-89.36353, 43.096344)
"415","1818 Fordem Ave",2018-08-02,169.1468,968,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2018,43.096344,-89.36353,c(-89.36353, 43.096344)
"416","1818 Fordem Ave",2019-07-30,158.6132,932,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,"y",2019,43.096344,-89.36353,c(-89.36353, 43.096344)
"417","2222 E Washington Ave",2005-02-08,394.4,2330,NA,"Yahara River","2222 E Washington Ave Madison, WI","indoor",NA,NA,2005,43.096504,-89.35378,c(-89.35378, 43.096504)
"418","2222 E Washington Ave",2007-01-04,537.1,2217,NA,"Yahara River","2222 E Washington Ave Madison, WI","indoor",NA,NA,2007,43.096504,-89.35378,c(-89.35378, 43.096504)
"419","2222 E Washington Ave",2019-01-17,640,2450,NA,"Yahara River","2222 E Washington Ave Madison, WI","indoor",NA,NA,2019,43.096504,-89.35378,c(-89.35378, 43.096504)
"420","6405 Bridge Rd",2011-06-22,58.2514,589,242266.354176,"Yahara River","6405 Bridge Rd Madison, WI","outdoor",NA,"y",2011,43.049355,-89.33801,c(-89.33801, 43.049355)
"421","238 Randolph Dr",2018-08-28,495,1750,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2018,43.061836,-89.51264,c(-89.51264, 43.061836)
"422","238 Randolph Dr",2017-08-22,555,2070,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2017,43.061836,-89.51264,c(-89.51264, 43.061836)
"423","238 Randolph Dr",2009-07-24,568,2240,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2009,43.061836,-89.51264,c(-89.51264, 43.061836)
"424","238 Randolph Dr",2019-08-05,568,2280,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2019,43.061836,-89.51264,c(-89.51264, 43.061836)
"425","238 Randolph Dr",2016-08-10,599,2140,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2016,43.061836,-89.51264,c(-89.51264, 43.061836)
"426","238 Randolph Dr",2014-08-20,745,2790,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2014,43.061836,-89.51264,c(-89.51264, 43.061836)
"427","238 Randolph Dr",2015-08-27,763,2700,NA,"Mendota","238 Randolph Dr Madison, WI","outdoor",NA,NA,2015,43.061836,-89.51264,c(-89.51264, 43.061836)
"428","260 Junction Rd",2010-06-25,216.548,1130,NA,"Mendota","260 Junction Rd Madison, WI","outdoor",NA,"y",2010,43.06454,-89.52655,c(-89.52655, 43.06454)
"429","260 Junction Rd",2009-07-01,222.4,1150,NA,"Mendota","260 Junction Rd Madison, WI","outdoor",NA,"y",2009,43.06454,-89.52655,c(-89.52655, 43.06454)
"430","260 Junction Rd",2011-07-05,231.178,1180,NA,"Mendota","260 Junction Rd Madison, WI","outdoor",NA,"y",2011,43.06454,-89.52655,c(-89.52655, 43.06454)
"431","260 Junction Rd",2012-06-20,315,1360,NA,"Mendota","260 Junction Rd Madison, WI","outdoor",NA,NA,2012,43.06454,-89.52655,c(-89.52655, 43.06454)
