STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1968-11,501,0,9,4,0,0,0,22,2,0,0,18,0,0.2,0.65,65,1620,883,1.74,0.5,35.6,43.2,27.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1968-12,501,0,13,6,13,5,4,28,18,0,0,-13,7,4.3,0.74,53,2935,1315,2.89,11.4,22.6,30.4,14.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-01,0,0,15,8,31,4,12,30,24,0,0,-14,11,2,0.4,38,4490,1555,2.26,9.8,14.8,21.7,7.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-02,0,0,4,1,18,0,0,28,16,0,0,1,2,0.9,0.12,38,5651,1160,0.18,1.7,23.6,30.5,16.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-03,0,0,7,4,6,3,0,29,11,0,0,2,3,4,0.5,66,6801,1150,1.48,10.2,27.9,38.3,17.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-04,0,0,11,5,0,0,0,14,0,4,0,21,0,0,1.1,71,7342,542,2.72,0,46.9,59.5,34.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-05,22,22,15,8,0,0,0,1,0,16,0,30,0,0,0.76,86,7632,290,3.46,0,56.4,69.2,43.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-06,60,37,13,12,0,0,0,0,0,17,0,36,0,0,2.17,85,7835,203,7.96,0,59.5,69.8,49.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-07,215,155,12,7,0,0,0,0,0,29,0,48,0,0,0.9,89,15,15,4.29,0,69.5,79.7,59.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-08,386,172,6,4,0,0,0,0,0,31,1,43,0,0,0.4,90,24,10,0.96,0,70.2,82.6,57.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-09,430,43,7,3,0,0,0,1,0,19,0,32,0,0,0.74,84,234,210,1.36,0,59.4,72.2,46.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-10,440,10,14,8,0,0,0,16,0,6,0,15,0,0,0.41,85,821,586,2.66,0,46.4,56.7,36.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-11,440,0,7,2,1,0,0,25,6,0,0,8,1,0.5,0.4,62,1778,957,0.7,1.1,33.1,42.9,23.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1969-12,440,0,8,5,25,5,4,31,22,0,0,-8,11,8.4,0.87,45,3133,1355,1.66,19.5,21.3,28.9,13.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-01,0,0,11,0,31,2,17,31,26,0,0,-21,12,1.2,0.09,38,4841,1708,0.45,6.4,9.9,18.2,1.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-02,0,0,4,0,22,0,7,28,14,0,0,-15,5,0.8,0.08,47,6099,1258,0.16,1.7,20.1,30.6,9.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-03,0,0,8,3,4,2,0,30,6,0,0,7,3,4.1,0.47,54,7150,1051,1.17,7,31.1,41.4,20.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-04,12,12,11,5,1,1,0,13,0,8,0,19,2,1.2,1,85,7675,525,2.53,1.9,47.9,60.1,35.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-05,57,45,18,12,0,0,0,1,0,16,0,25,0,0,1.84,87,7924,249,6.09,0,58.4,70.3,46.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-06,177,120,7,7,0,0,0,0,0,26,2,39,0,0,0.79,93,7999,75,2.26,0,66.5,78.3,54.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-07,379,202,8,5,0,0,0,0,0,30,5,43,0,0,0.8,90,30,30,2.43,0,70.6,82.7,58.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-08,508,129,3,2,0,0,0,0,0,31,4,43,0,0,0.63,91,50,20,0.97,0,68.5,82.5,54.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-09,558,50,13,11,0,0,0,0,0,16,0,34,0,0,2.55,88,252,202,8.81,0,59.9,70.4,49.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-10,561,3,10,6,0,0,0,5,0,3,0,25,0,0,0.9,77,689,437,2.66,0,51,60.7,41.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-11,561,0,9,3,0,0,0,18,2,0,0,7,0,0.2,0.37,56,1551,862,1.06,0.2,36.2,43.7,28.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1970-12,561,0,11,3,21,4,9,28,15,0,0,-12,14,12.7,1.34,62,2871,1320,2.12,20.8,22.4,32.2,12.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-01,0,0,9,4,31,5,16,31,24,0,0,-26,21,8.3,0.6,37,4589,1718,1.48,21.9,9.6,20.5,-1.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-02,0,0,11,5,28,1,9,26,13,0,0,-22,15,1.4,0.86,47,5850,1262,2.6,3.7,19.9,28.4,11.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-03,0,0,9,4,23,4,0,28,10,1,0,3,14,12,0.8,70,6981,1130,1.52,20.1,28.5,36.9,20.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-04,0,0,7,4,1,0,0,16,2,7,0,16,1,0.6,1.36,78,7570,589,2.42,0.7,45.4,59,31.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-05,11,11,7,5,0,0,0,5,0,18,0,25,0,0,0.4,86,7889,319,0.98,0,55,70.4,39.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-06,234,223,8,5,0,0,0,0,0,29,9,43,0,0,0.75,95,7913,24,2.27,0,71.6,84.6,58.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-07,371,137,9,4,0,0,0,0,0,30,3,43,0,0,0.65,91,28,28,1.65,0,68.5,81.6,55.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-08,497,126,6,6,0,0,0,0,0,30,5,43,0,0,1.05,92,52,23,3.96,0,68.3,82.5,54.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-09,631,135,9,4,0,0,0,0,0,23,2,33,0,0,0.62,90,185,133,1.87,0,65,77.6,52.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-10,650,19,13,6,0,0,0,5,0,13,0,28,0,0,0.27,88,486,301,1.3,0,55.9,67.6,44.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-11,650,0,13,5,5,3,0,22,4,1,0,7,6,3.8,2.3,71,1380,894,3.48,8.8,35.2,44.7,25.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1971-12,650,0,12,6,9,2,1,26,9,0,0,-1,5,6.1,1.57,46,2566,1186,3.64,8.9,26.7,34.4,19
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-01,0,0,8,2,16,1,12,31,19,0,0,-24,5,1.8,0.13,45,4186,1620,0.41,3.6,12.7,22.5,2.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-02,0,0,8,1,27,2,10,29,18,0,0,-19,4,2.5,0.17,44,5593,1407,0.43,6.4,16.5,26.4,6.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-03,0,0,9,6,14,4,2,28,7,0,0,-2,8,10.9,0.82,61,6721,1127,2.22,18.8,28.6,38.2,19.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-04,0,0,13,4,6,3,0,15,1,2,0,9,5,1.5,1.22,78,7432,712,2.03,3.9,41.3,52.6,29.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-05,37,37,10,7,0,0,0,2,0,20,0,32,0,0,0.71,89,7650,217,2.83,0,59.2,73.9,44.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-06,93,56,7,3,0,0,0,1,0,26,2,31,0,0,0.75,91,7772,122,1.65,0,62.8,77.6,47.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-07,241,148,12,7,0,0,0,0,0,29,5,40,0,0,0.73,94,46,46,3.49,0,68.3,80.2,56.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-08,414,172,13,9,0,0,0,0,0,28,4,40,0,0,1.74,94,91,45,7.48,0,69.1,79.4,58.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-09,439,25,14,10,0,0,0,1,0,17,0,31,0,0,1.26,83,286,195,5.26,0,59.4,70.5,48.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-10,439,0,9,5,0,0,0,11,0,3,0,15,0,0,1.18,76,880,594,2.42,0,45.8,55.8,35.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-11,439,0,9,2,0,0,0,18,2,0,0,15,0,0.5,0.39,54,1793,913,0.86,1.3,34.6,40.3,28.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1972-12,439,0,12,5,29,6,10,30,22,0,0,-17,10,8,0.56,44,3274,1481,1.91,16.3,17.2,25.3,9.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-01,0,0,10,4,2,0,6,28,14,0,0,-8,1,0.4,0.68,53,4563,1289,1.55,2,23.4,31.2,15.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-02,0,0,10,4,13,1,5,26,11,0,0,-16,3,1.8,0.41,44,5711,1149,1.2,6.1,24,31.8,16.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-03,0,0,13,10,0,1,0,15,0,0,0,18,0,1.1,1.86,68,6438,727,5.04,1.1,41.5,51.4,31.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-04,0,0,16,10,6,3,0,12,1,3,0,12,14,12.9,1.36,73,7041,603,7.11,17.4,44.9,54.1,35.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-05,2,2,19,11,0,0,0,1,0,8,0,32,0,0,1.09,80,7374,333,5.28,0,54.3,65.2,43.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-06,106,104,12,4,0,0,0,0,0,28,2,48,0,0,0.17,90,7390,16,0.81,0,67.9,80.1,55.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-07,316,210,7,3,0,0,0,0,0,31,4,48,0,0,1.93,95,4,4,2.68,0,71.6,83,60.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-08,516,200,8,6,0,0,0,0,0,30,6,47,0,0,0.68,94,31,27,2.54,0,70.6,81.9,59.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-09,573,57,16,11,0,0,0,0,0,17,1,35,0,0,0.78,90,220,188,3.59,0,60.6,71.1,50.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-10,591,18,12,5,0,0,0,2,0,11,0,28,0,0,0.55,80,575,355,2.3,0,54.1,65.2,43
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-11,591,0,9,5,0,0,0,21,0,0,0,13,0,0.4,0.41,64,1428,853,1.48,0.4,36.6,46,27.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1973-12,591,0,14,5,22,5,6,27,20,0,0,-11,4,2.1,0.97,59,2779,1350,1.98,10.9,21.4,29.3,13.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-01,0,0,12,4,20,3,10,28,15,0,0,-19,6,3.5,1.15,50,4200,1421,2.45,10.6,19.2,26.2,12.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-02,0,0,10,4,27,4,7,27,16,0,0,-16,8,5,0.34,45,5506,1306,1.18,14.1,18.4,28.9,7.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-03,0,0,16,7,2,2,1,27,3,0,0,-4,1,2.2,0.69,67,6495,989,3.43,6.6,33.1,41.6,24.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-04,9,9,11,9,0,0,0,13,0,7,0,22,0,0.4,0.98,84,6993,499,4.24,0.4,48.7,61.1,36.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-05,25,16,14,9,0,0,0,4,0,8,0,26,0,0,2.07,88,7348,354,5.77,0,54.1,64.4,43.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-06,90,64,13,5,0,0,0,0,0,25,0,42,0,0,2.46,89,7442,94,3.86,0,64,76.7,51.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-07,312,222,7,6,0,0,0,0,0,31,10,48,0,0,1.02,97,2,2,2.69,0,72.1,85.2,59
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-08,407,96,12,8,0,0,0,0,0,29,2,42,0,0,1.94,91,42,40,4.61,0,66.8,79.2,54.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-09,438,31,5,3,0,0,0,2,0,18,0,25,0,0,0.41,87,300,259,1.08,0,57.4,71,43.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-10,439,1,8,6,0,0,0,10,0,8,0,21,0,0,0.84,79,751,451,3.18,0,50.5,62.7,38.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-11,439,0,10,3,1,1,0,21,3,1,0,16,1,1.9,0.98,71,1587,835,1.8,3,37.1,45.3,29
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1974-12,439,0,11,5,23,7,0,27,11,0,0,6,5,2.6,0.51,41,2772,1185,1.81,15.4,26.8,33.2,20.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-01,0,0,12,3,12,2,6,30,15,0,0,-6,3,1.6,0.28,53,4109,1336,0.98,5.2,21.9,30.9,12.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-02,0,0,13,5,24,6,8,28,14,0,0,-14,9,4.9,0.47,43,5334,1225,1.55,20.9,21.3,29.9,12.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-03,0,0,14,6,22,3,4,26,12,0,0,-8,11,4.3,0.91,51,6539,1205,3.09,10,26.1,36,16.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-04,0,0,11,6,5,1,0,19,1,2,0,12,5,4.9,1.91,78,7260,720,4.19,5.9,41,51.7,30.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-05,77,77,12,6,0,0,0,0,0,20,3,34,0,0,1.54,93,7415,156,4.57,0,62.5,75.5,49.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-06,247,170,15,10,0,0,0,0,0,27,6,41,0,0,1.02,93,7461,46,4.31,0,69.1,80.8,57.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-07,497,250,7,3,0,0,0,0,0,30,8,45,0,0,3.89,93,19,19,6.05,0,72.4,84.2,60.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-08,682,184,18,13,0,0,0,0,0,28,5,44,0,0,0.95,93,31,12,5.26,0,70.6,81.7,59.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-09,698,16,7,3,0,0,0,2,0,15,0,28,0,0,0.38,85,274,242,0.85,0,57.5,69.4,45.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-10,719,20,3,2,0,0,0,10,0,15,1,23,0,0,0.34,90,692,419,0.64,0,52.2,67.1,37.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-11,719,0,12,7,7,4,0,15,4,2,0,8,4,1.6,0.67,70,1387,695,2.79,5.6,41.8,52.2,31.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1975-12,719,0,6,2,1,1,2,29,18,0,0,-3,2,1.5,0.11,59,2610,1223,0.29,2.8,25.5,33.1,17.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-01,0,0,13,1,22,3,13,31,21,0,0,-18,6,3.9,0.14,41,4139,1529,0.57,10.1,15.7,26.1,5.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-02,0,0,5,5,17,3,3,24,6,0,0,-20,6,6,0.45,60,5200,1061,1.72,10.4,28.4,38.9,17.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-03,0,0,13,8,0,0,0,24,1,2,0,11,0,0.8,1.86,76,6084,884,4.76,2,36.5,47,25.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-04,13,13,12,7,0,0,0,16,0,8,0,23,0,0,1.06,83,6568,483,4.8,0,49.3,62.7,35.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-05,20,6,8,4,0,0,0,5,0,14,0,28,0,0,1.12,84,6908,340,1.95,0,54.2,68.2,40.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-06,153,133,8,4,0,0,0,0,0,28,5,39,0,0,0.49,95,6943,35,1.38,0,68.3,82.5,54
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-07,416,264,5,2,0,0,0,0,0,31,16,45,0,0,0.88,104,5,5,1.46,0,73.3,88.6,58
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-08,576,160,6,3,0,0,0,0,0,31,7,40,0,0,0.81,94,48,43,1.99,0,68.8,84.1,53.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-09,609,33,4,1,0,0,0,4,0,18,2,26,0,0,0.41,91,291,243,0.5,0,58,73.6,42.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-10,611,2,6,3,0,0,0,20,0,7,1,15,0,0,0.62,90,955,664,1.48,0,43.7,56.6,30.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-11,611,0,4,0,4,0,3,29,7,0,0,-6,1,0.4,0.04,62,2063,1108,0.11,1.1,28.1,39.2,16.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1976-12,611,0,10,1,21,2,14,31,21,0,0,-17,4,1.6,0.1,50,3670,1606,0.37,5.8,13.2,24.7,1.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-01,0,0,14,0,31,2,25,31,31,0,0,-22,4,1.6,0.09,29,5570,1900,0.54,8.8,3.7,14.1,-6.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-02,0,0,3,3,12,1,6,27,15,0,0,-19,4,2.2,1.15,54,6764,1194,1.44,2.6,22.4,32.3,12.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-03,0,0,13,11,4,3,0,20,0,1,0,11,2,1.7,0.9,70,7547,783,3.03,5.8,39.7,50.2,29.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-04,22,22,9,6,1,1,0,11,0,13,0,20,1,2.1,0.9,87,7962,415,2.59,2.3,51.9,65.7,38.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-05,140,118,9,6,0,0,0,3,0,28,2,24,0,0,1.17,90,8076,114,2.52,0,65.1,80.8,49.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-06,236,96,11,5,0,0,0,0,0,24,4,34,0,0,0.86,93,8175,99,2.63,0,64.9,78.3,51.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-07,509,273,11,9,0,0,0,0,0,31,10,45,0,0,2.15,102,7,7,6.63,0,73.6,86.3,60.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-08,593,84,13,9,0,0,0,0,0,27,1,38,0,0,2.01,90,106,99,5.19,0,64.5,75.9,53.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-09,602,9,11,7,0,0,0,0,0,17,0,40,0,0,0.67,82,274,168,2.84,0,59.7,68.8,50.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-10,602,0,11,5,0,0,0,8,0,0,0,26,0,0,0.69,66,816,541,1.41,0,47.5,58.7,36.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-11,602,0,13,6,7,4,2,19,9,0,0,-5,7,4.6,1.01,64,1747,931,2.12,10.4,34,42,25.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1977-12,602,0,11,4,29,5,10,27,20,0,0,-15,14,7,0.41,50,3157,1410,1.6,24.6,19.5,26.9,12.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-01,0,0,7,4,31,5,16,30,28,0,0,-12,14,5.4,0.48,35,4849,1692,1.04,13.5,10.4,19.4,1.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-02,0,0,6,1,28,1,16,28,26,0,0,-9,14,2.4,0.15,36,6321,1472,0.24,4.8,12.4,22.8,2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-03,0,0,7,0,20,1,4,27,8,1,0,-5,8,1,0.08,81,7426,1104,0.28,3,29.4,40.2,18.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-04,0,0,14,8,0,0,0,18,1,3,0,24,0,0.5,0.76,75,8040,614,3.5,0.5,44.5,56.9,32.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-05,55,55,10,4,0,0,0,5,0,17,2,19,0,0,2.39,92,8316,276,3.96,0,57.9,70.8,45
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-06,143,88,8,5,0,0,0,0,0,28,3,42,0,0,3.41,92,8379,63,9.95,0,65.8,78.8,52.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-07,309,166,13,7,0,0,0,0,0,30,1,46,0,0,1.57,90,19,19,4.54,0,69.7,80.6,58.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-08,471,162,7,4,0,0,0,0,0,31,4,44,0,0,0.64,91,42,22,1.63,0,69.5,82.3,56.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-09,570,99,9,7,0,0,0,0,0,19,5,34,0,0,1.67,97,177,135,5.44,0,63.8,76.7,50.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-10,570,0,8,5,0,0,0,11,0,2,0,24,0,0,0.36,77,727,550,1.11,0,47.2,58.5,36
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-11,570,0,11,7,8,3,0,24,9,1,0,4,3,2.4,1.42,73,1672,945,3.05,6.2,33.5,43,24
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1978-12,570,0,16,4,31,4,3,31,15,0,0,-9,7,8.1,0.4,42,3026,1354,1.72,23,21.3,28.7,14
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-01,0,0,12,5,31,6,18,31,31,0,0,-28,32,7.3,0.49,29,4826,1800,1.69,26.9,6.9,15.9,-2.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-02,0,0,9,4,28,3,14,28,22,0,0,-21,28,3.1,0.33,40,6320,1494,0.91,8.8,11.7,22.2,1.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-03,0,0,14,8,24,1,0,25,5,0,0,3,16,3,0.51,65,7341,1022,2.67,4,32,40.6,23.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-04,0,0,13,7,3,2,0,16,1,4,0,12,3,3.9,0.63,75,8021,679,2.46,7.3,42.3,52.7,32
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-05,31,31,10,4,0,0,0,2,0,16,0,28,0,0,1.22,86,8309,288,2.7,0,56.7,70.2,43.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-06,115,83,10,7,0,0,0,0,0,26,0,36,0,0,0.89,89,8364,55,2.53,0,65.9,78.3,53.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-07,278,163,10,6,0,0,0,0,0,31,0,42,0,0,1.47,89,15,15,2.8,0,69.7,83.1,56.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-08,390,112,14,11,0,0,0,0,0,26,1,37,0,0,1.41,91,79,64,4.96,0,66.6,77.1,56
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-09,422,32,3,0,0,0,0,0,0,21,0,33,0,0,0.08,87,228,149,0.11,0,61.1,75.1,47.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-10,434,12,9,5,0,0,0,9,0,3,0,19,0,0.2,1.54,81,783,555,3.1,0.2,47.5,58.2,36.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-11,434,0,11,5,5,2,0,20,6,0,0,9,2,1.7,1.03,67,1682,898,2.28,4.4,35,42.7,27.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1979-12,434,0,7,4,3,0,2,29,8,0,0,-3,1,0.9,1.01,55,2804,1122,1.93,1.3,28.8,38.6,19
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-01,0,0,11,3,12,2,9,30,25,0,0,-7,2,1.7,0.59,48,4284,1480,1.11,5,17.3,25.2,9.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-02,0,0,8,2,22,4,13,27,23,0,0,-12,4,2.3,0.13,39,5715,1431,0.64,7.5,15.7,25.2,6.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-03,0,0,7,3,14,3,3,27,8,0,0,-4,3,1.9,0.27,55,6862,1147,0.69,5.6,28,37.5,18.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-04,8,8,9,5,3,2,0,15,0,5,1,22,3,4,0.65,94,7456,594,2.36,7.1,45.4,57,33.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-05,45,37,9,6,0,0,0,4,0,18,0,29,0,0,0.58,89,7717,261,2.08,0,57.8,71.7,43.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-06,142,97,11,6,0,0,0,0,0,25,4,37,0,0,1.01,96,7805,88,3.43,0,65.3,78.3,52.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-07,405,263,9,5,0,0,0,0,0,30,9,47,0,0,0.81,99,2,2,2.67,0,73.4,86.9,59.9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-08,581,177,17,14,0,0,0,0,0,30,4,50,0,0,2.37,94,14,11,9.49,0,70.3,81.6,59.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1980-09,609,28,14,10,0,0,0,1,0,18,0,31,0,0,1.8,87,196,182,7.84,0,59.9,70.6,49.1
