Site,Date,chloride,Cond,Volume,Receiving,address,location,NaCl,estimated_cl,year,latitude,longitude
1 W Dayton St,2015-01-15T00:00:00Z,436,2080,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,NA,2015,43.075765677757296,-89.38656213724711
1 W Dayton St,2017-01-12T00:00:00Z,496,1930,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,NA,2017,43.075765677757296,-89.38656213724711
1080 N Pleasant View Rd,2009-07-01T00:00:00Z,196.066,1060,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,y,2009,43.110325,-89.351265
1080 N Pleasant View Rd,2007-07-06T00:00:00Z,125.3,902,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2007,43.110325,-89.351265
1080 N Pleasant View Rd,2008-07-08T00:00:00Z,170.1,875,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2008,43.110325,-89.351265
1080 N Pleasant View Rd,2004-06-02T00:00:00Z,200.1,934,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2004,43.110325,-89.351265
1080 N Pleasant View Rd,2010-06-24T00:00:00Z,390,1520,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2010,43.110325,-89.351265
2502 Crossroads Dr,2013-01-09T00:00:00Z,167.3912,962,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2013,43.133453,-89.2907
2502 Crossroads Dr,2010-02-08T00:00:00Z,225.32600000000005,1160,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2010,43.133453,-89.2907
2502 Crossroads Dr,2016-02-23T00:00:00Z,245.80800000000002,1230,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2016,43.133453,-89.2907
2502 Crossroads Dr,2018-01-18T00:00:00Z,421.36800000000005,1830,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2018,43.133453,-89.2907
2502 Crossroads Dr,2014-01-21T00:00:00Z,462.332,1970,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2014,43.133453,-89.2907
2502 Crossroads Dr,2019-01-22T00:00:00Z,588.15,2400,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2019,43.133453,-89.2907
3301 City View Dr,2010-06-10T00:00:00Z,210.696,1110,NA,Starkweather Creek,"3301 City View Dr Madison, WI",indoor,NA,y,2010,NA,NA
22 S Carroll St,2018-01-24T00:00:00Z,301.40200000000004,1420,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,y,2018,NA,NA
3550 Anderson St,2011-06-27T00:00:00Z,219.47400000000002,1140,NA,Starkweather Creek,"3550 Anderson St Madison, WI",indoor,NA,y,2011,43.12023,-89.32756
3550 Anderson St,2014-02-04T00:00:00Z,324.81000000000006,1500,NA,Starkweather Creek,"3550 Anderson St Madison, WI",indoor,NA,y,2014,43.12023,-89.32756
3550 Anderson St,2019-01-16T00:00:00Z,471.11,2000,NA,Starkweather Creek,"3550 Anderson St Madison, WI",indoor,NA,y,2019,43.12023,-89.32756
3841 E Washington Ave,2019-01-16T00:00:00Z,1126.534,4240,NA,Starkweather Creek,"3841 E Washington Ave Madison, WI",indoor,NA,y,2019,43.11661,-89.32502
22 S Carroll St,2017-01-12T00:00:00Z,867,3070,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,NA,2017,NA,NA
4402 E Washington Ave,2018-01-18T00:00:00Z,142.22760000000002,876,NA,Starkweather Creek,"4402 E Washington Ave Madison, WI",indoor,NA,y,2018,43.12664,-89.31022
4801 Annamark Dr,2013-02-11T00:00:00Z,118.23440000000002,794,NA,Starkweather Creek,"4801 Annamark Dr Madison, WI",indoor,NA,y,2013,43.131306,-89.299614
13 Cherokee Cir,2010-06-11T00:00:00Z,111.50460000000001,771,NA,Cherokee Marsh,"13 Cherokee Cir Madison, WI",outdoor,NA,y,2010,43.146015,-89.3637
13 Cherokee Cir,2011-06-16T00:00:00Z,184.36200000000005,1020,NA,Cherokee Marsh,"13 Cherokee Cir Madison, WI",outdoor,NA,y,2011,43.146015,-89.3637
13 Cherokee Cir,2013-07-11T00:00:00Z,201.91800000000003,1080,NA,Cherokee Marsh,"13 Cherokee Cir Madison, WI",outdoor,NA,y,2013,43.146015,-89.3637
13 Cherokee Cir,2018-08-02T00:00:00Z,711.042,2820,NA,Cherokee Marsh,"13 Cherokee Cir Madison, WI",outdoor,NA,y,2018,43.146015,-89.3637
1436 Wheeler Rd,2010-06-11T00:00:00Z,213.62200000000004,1120,NA,Cherokee Marsh,"1436 Wheeler Rd Madison, WI",outdoor,NA,y,2010,43.148304,-89.36969
1436 Wheeler Rd,2013-07-11T00:00:00Z,251.66000000000005,1250,NA,Cherokee Marsh,"1436 Wheeler Rd Madison, WI",outdoor,NA,y,2013,43.148304,-89.36969
22 S Carroll St,2019-03-07T00:00:00Z,941,3940,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,NA,2019,NA,NA
1515 Golf View Rd,2010-06-11T00:00:00Z,187.28800000000004,1030,NA,Cherokee Marsh,"1515 Golf View Rd Madison, WI",outdoor,NA,y,2010,NA,NA
1515 Golf View Rd,2013-07-11T00:00:00Z,222.4,1150,NA,Cherokee Marsh,"1515 Golf View Rd Madison, WI",outdoor,NA,y,2013,NA,NA
1515 Golf View Rd,2011-06-16T00:00:00Z,239.95600000000005,1210,NA,Cherokee Marsh,"1515 Golf View Rd Madison, WI",outdoor,NA,y,2011,NA,NA
4801 Annamark Dr,2018-01-18T00:00:00Z,389.182,1720,NA,Starkweather Creek,"4801 Annamark Dr Madison, WI",indoor,NA,y,2018,43.131306,-89.299614
4801 Annamark Dr,2010-02-08T00:00:00Z,430.1460000000001,1860,NA,Starkweather Creek,"4801 Annamark Dr Madison, WI",indoor,NA,y,2010,43.131306,-89.299614
1608 N Thompson Dr,2008-07-17T00:00:00Z,690.7,2424,NA,Starkweather Creek,"1608 N Thompson Dr Madison, WI",indoor,NA,NA,2008,43.119502710075494,-89.29963349360084
401 N Thompson Dr,2010-06-10T00:00:00Z,171.48760000000001,976,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2010,43.10336,-89.29745
401 N Thompson Dr,2011-06-16T00:00:00Z,172.95060000000004,981,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2011,43.10336,-89.29745
401 N Thompson Dr,2009-07-22T00:00:00Z,187.28800000000004,1030,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2009,43.10336,-89.29745
401 N Thompson Dr,2014-07-23T00:00:00Z,216.54800000000003,1130,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2014,43.10336,-89.29745
401 N Thompson Dr,2010-07-06T00:00:00Z,228.25200000000004,1170,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2010,43.10336,-89.29745
401 N Thompson Dr,2018-08-02T00:00:00Z,228.25200000000004,1170,NA,Starkweather Creek,"401 N Thompson Dr Madison, WI",outdoor,NA,y,2018,43.10336,-89.29745
5109 W Terrace Dr,2013-01-09T00:00:00Z,324.81000000000006,1500,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,y,2013,43.142906,-89.29551
5109 W Terrace Dr,2019-03-18T00:00:00Z,643.744,2590,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,y,2019,43.142906,-89.29551
5109 W Terrace Dr,2015-01-12T00:00:00Z,383,3070,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,NA,2015,43.142906,-89.29551
5109 W Terrace Dr,2010-02-10T00:00:00Z,453,3180,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,NA,2010,43.142906,-89.29551
22 S Carroll St,2014-02-04T00:00:00Z,994,3860,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,NA,2014,NA,NA
22 S Carroll St,2012-02-27T00:00:00Z,1030,3920,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,NA,2012,NA,NA
1614 Fordem Ave,2004-07-06T00:00:00Z,117,756,NA,Yahara River,"1614 Fordem Ave Madison, WI",outdoor,NA,NA,2004,43.093784,-89.36364
1766 Fordem Ave,2006-07-25T00:00:00Z,55.02,919,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,NA,2006,43.095047,-89.363495
1766 Fordem Ave,2009-06-24T00:00:00Z,338,2770,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,NA,2009,43.095047,-89.363495
1766 Fordem Ave,2009-07-22T00:00:00Z,184.36200000000005,1020,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,y,2009,43.095047,-89.363495
1720 Fordem Ave,2010-07-13T00:00:00Z,47.3,782,NA,Yahara River,"1720 Fordem Ave Madison, WI",outdoor,NA,NA,2010,43.094734,-89.363525
1766 Fordem Ave,2011-06-27T00:00:00Z,170.90240000000003,974,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,y,2011,43.095047,-89.363495
1766 Fordem Ave,2012-06-14T00:00:00Z,142,1010,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,NA,2012,43.095047,-89.363495
1614 Fordem Ave,2007-07-23T00:00:00Z,301.7,1288,NA,Yahara River,"1614 Fordem Ave Madison, WI",outdoor,NA,NA,2007,43.093784,-89.36364
1624 Fordem Ave,2019-07-30T00:00:00Z,178.51000000000002,1000,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2019,43.09335,-89.36364
1624 Fordem Ave,2018-08-02T00:00:00Z,169.732,970,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2018,43.09335,-89.36364
5109 W Terrace Dr,2011-01-12T00:00:00Z,591,3670,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,NA,2011,43.142906,-89.29551
5109 W Terrace Dr,2017-01-03T00:00:00Z,663,3720,NA,Starkweather Creek,"5109 W Terrace Dr Madison, WI",indoor,NA,NA,2017,43.142906,-89.29551
5515 Medical Cir,2018-02-01T00:00:00Z,175.58400000000003,990,567811.7676,Wingra,"5515 Medical Cir Madison, WI",indoor,NA,y,2018,43.048542,-89.47424
5515 Medical Cir,2019-02-05T00:00:00Z,219.47400000000002,1140,567811.7676,Wingra,"5515 Medical Cir Madison, WI",indoor,NA,y,2019,43.048542,-89.47424
702 S High Point Rd,2009-06-22T00:00:00Z,174.99880000000005,988,NA,Spring Harbor,"702 S High Point Rd Madison, WI",indoor,NA,y,2009,43.05126107866632,-89.52238137833336
702 S High Point Rd,2010-02-11T00:00:00Z,201.91800000000003,1080,NA,Spring Harbor,"702 S High Point Rd Madison, WI",indoor,NA,y,2010,43.05126107866632,-89.52238137833336
22 S Carroll St,2011-01-05T00:00:00Z,1180,4340,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,NA,2011,NA,NA
333 W Washington Ave,2018-01-24T00:00:00Z,617.4100000000001,2500,NA,Monona Bay,"333 W Washington Ave Madison, WI",indoor,NA,y,2018,43.076946,-89.38084
1080 N Pleasant View Rd,2016-08-10T00:00:00Z,896,3040,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2016,43.110325,-89.351265
333 W Washington Ave,2011-01-10T00:00:00Z,679,3720,NA,Monona Bay,"333 W Washington Ave Madison, WI",indoor,NA,NA,2011,43.076946,-89.38084
1766 Fordem Ave,2013-07-11T00:00:00Z,138.42380000000003,863,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,y,2013,43.095047,-89.363495
1818 Fordem Ave,2007-07-23T00:00:00Z,98.3,867,NA,Yahara River,"1818 Fordem Ave Madison, WI",outdoor,NA,NA,2007,43.096344,-89.36353
1624 Fordem Ave,2016-08-03T00:00:00Z,135.4978,853,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2016,43.09335,-89.36364
1766 Fordem Ave,2015-08-12T00:00:00Z,163.58740000000003,949,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,y,2015,43.095047,-89.363495
1624 Fordem Ave,2015-08-12T00:00:00Z,131.9866,841,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2015,43.09335,-89.36364
1614 Fordem Ave,2009-07-22T00:00:00Z,366,1700,NA,Yahara River,"1614 Fordem Ave Madison, WI",outdoor,NA,NA,2009,43.093784,-89.36364
1624 Fordem Ave,2013-07-11T00:00:00Z,98.33760000000001,726,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2013,43.09335,-89.36364
1614 Fordem Ave,2010-06-11T00:00:00Z,155.3946,921,NA,Yahara River,"1614 Fordem Ave Madison, WI",outdoor,NA,y,2010,43.093784,-89.36364
1624 Fordem Ave,2012-06-14T00:00:00Z,134,971,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,NA,2012,43.09335,-89.36364
1766 Fordem Ave,2016-08-03T00:00:00Z,154.51680000000002,918,NA,Yahara River,"1766 Fordem Ave Madison, WI",outdoor,NA,y,2016,43.095047,-89.363495
1624 Fordem Ave,2011-06-27T00:00:00Z,151.59080000000003,908,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2011,43.09335,-89.36364
1818 Fordem Ave,2008-07-07T00:00:00Z,118.6,804,NA,Yahara River,"1818 Fordem Ave Madison, WI",outdoor,NA,NA,2008,43.096344,-89.36353
1624 Fordem Ave,2010-06-11T00:00:00Z,124.37900000000002,815,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,y,2010,43.09335,-89.36364
1614 Fordem Ave,2011-06-27T00:00:00Z,147.20180000000002,893,NA,Yahara River,"1614 Fordem Ave Madison, WI",outdoor,NA,y,2011,43.093784,-89.36364
1624 Fordem Ave,2008-07-07T00:00:00Z,148.9,839,NA,Yahara River,"1624 Fordem Ave Madison, WI",outdoor,NA,NA,2008,43.09335,-89.36364
1080 N Pleasant View Rd,2015-08-27T00:00:00Z,902,3330,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2015,43.110325,-89.351265
1080 N Pleasant View Rd,2014-08-07T00:00:00Z,954,3470,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2014,43.110325,-89.351265
2502 Independence Ln,2009-07-22T00:00:00Z,167.0986,961,NA,Starkweather Creek,"2502 Independence Ln Madison, WI",outdoor,NA,y,2009,43.131386,-89.30802
2502 Independence Ln,2010-06-10T00:00:00Z,198.99200000000005,1070,NA,Starkweather Creek,"2502 Independence Ln Madison, WI",outdoor,NA,y,2010,43.131386,-89.30802
2502 Independence Ln,2011-06-27T00:00:00Z,207.77,1100,NA,Starkweather Creek,"2502 Independence Ln Madison, WI",outdoor,NA,y,2011,43.131386,-89.30802
2502 Independence Ln,2012-08-01T00:00:00Z,272.14200000000005,1320,NA,Starkweather Creek,"2502 Independence Ln Madison, WI",outdoor,NA,y,2012,43.131386,-89.30802
1 N Yellowstone Dr w,2009-07-02T00:00:00Z,385,1960,NA,Spring Harbor,"1 N Yellowstone Dr w Madison, WI",outdoor,NA,NA,2009,43.0648,-89.49341
1 N Yellowstone Dr d,2010-07-12T00:00:00Z,455,2180,NA,Spring Harbor,"1 N Yellowstone Dr d Madison, WI",outdoor,NA,NA,2010,43.064796,-89.49341
1 N Yellowstone Dr m,2010-07-12T00:00:00Z,451,2190,NA,Spring Harbor,"1 N Yellowstone Dr m Madison, WI",outdoor,NA,NA,2010,43.064796,-89.49341
1 N Yellowstone Dr w,2010-07-12T00:00:00Z,458,2180,NA,Spring Harbor,"1 N Yellowstone Dr w Madison, WI",outdoor,NA,NA,2010,43.0648,-89.49341
1080 N Pleasant View Rd,2018-08-28T00:00:00Z,994,3480,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2018,43.110325,-89.351265
1080 N Pleasant View Rd,2011-07-05T00:00:00Z,1030,3610,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2011,43.110325,-89.351265
1080 N Pleasant View Rd,2017-08-02T00:00:00Z,1270,4510,NA,Mendota,"1080 N Pleasant View Rd Madison, WI",outdoor,NA,NA,2017,43.110325,-89.351265
2601 Old Camden Sq,2014-07-09T00:00:00Z,133.44960000000003,846,NA,Starkweather Creek,"2601 Old Camden Sq Madison, WI",outdoor,NA,y,2014,NA,NA
2601 Old Camden Sq,2013-07-24T00:00:00Z,155.68720000000005,922,NA,Starkweather Creek,"2601 Old Camden Sq Madison, WI",outdoor,NA,y,2013,NA,NA
2601 Old Camden Sq,2010-07-06T00:00:00Z,234.104,1190,NA,Starkweather Creek,"2601 Old Camden Sq Madison, WI",outdoor,NA,y,2010,NA,NA
302 Parkwood Ln,2010-06-10T00:00:00Z,167.3912,962,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2010,43.103592,-89.31075
302 Parkwood Ln,2011-06-22T00:00:00Z,169.4394,969,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2011,43.103592,-89.31075
302 Parkwood Ln,2013-07-11T00:00:00Z,207.77,1100,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2013,43.103592,-89.31075
302 Parkwood Ln,2009-07-22T00:00:00Z,213.62200000000004,1120,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2009,43.103592,-89.31075
302 Parkwood Ln,2015-08-11T00:00:00Z,213.62200000000004,1120,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2015,43.103592,-89.31075
302 Parkwood Ln,2014-07-30T00:00:00Z,231.17800000000003,1180,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2014,43.103592,-89.31075
302 Parkwood Ln,2017-07-11T00:00:00Z,231.17800000000003,1180,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2017,43.103592,-89.31075
302 Parkwood Ln,2018-08-02T00:00:00Z,251.66000000000005,1250,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2018,43.103592,-89.31075
302 Parkwood Ln,2016-08-02T00:00:00Z,301.40200000000004,1420,NA,Starkweather Creek,"302 Parkwood Ln Madison, WI",outdoor,NA,y,2016,43.103592,-89.31075
3269 Forest Run Ct,2013-07-23T00:00:00Z,131.69400000000002,840,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2013,43.137608,-89.30429
3269 Forest Run Ct,2014-07-09T00:00:00Z,142.22760000000002,876,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2014,43.137608,-89.30429
3269 Forest Run Ct,2010-06-10T00:00:00Z,150.713,905,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2010,43.137608,-89.30429
3269 Forest Run Ct,2011-06-16T00:00:00Z,167.68380000000005,963,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2011,43.137608,-89.30429
3269 Forest Run Ct,2015-08-11T00:00:00Z,272.14200000000005,1320,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2015,43.137608,-89.30429
3269 Forest Run Ct,2018-08-02T00:00:00Z,345.29200000000003,1570,NA,Starkweather Creek,"3269 Forest Run Ct Madison, WI",outdoor,NA,y,2018,43.137608,-89.30429
4 S Lincoln Ridge Dr,2013-07-29T00:00:00Z,79.02600000000001,660,NA,Spring Harbor,"4 S Lincoln Ridge Dr Madison, WI",outdoor,NA,y,2013,43.051422,-89.51524
