sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
6/18/2020,11:28:00,20,10.38,7.06,0.79,582.78,7.64,0.21,0.62,11.89,0.57
6/18/2020,11:30:05,19,10.44,6.1,0.68,583.06,7.63,0.21,0.6,11.86,0.62
6/18/2020,11:32:10,18,10.61,17.28,1.92,581.14,7.72,0.17,0.52,11.75,0.55
6/18/2020,11:34:15,17,10.75,23.02,2.55,580.28,7.76,0.17,0.55,11.69,0.51
6/18/2020,11:36:05,16,10.99,27.86,3.07,579.32,7.8,0.16,0.5,11.62,0.51
6/18/2020,11:38:10,15,11.17,27.94,3.06,579.08,7.8,0.16,0.51,11.6,0.49
6/18/2020,11:40:05,14,11.32,33.1,3.62,578.42,7.84,0.19,0.53,11.56,0.46
6/18/2020,11:42:05,13,11.71,35.8,3.88,578.02,7.86,0.15,0.44,11.5,0.5
6/18/2020,11:44:05,12,12.66,44.44,4.71,576.62,7.92,0.18,0.5,11.32,0.48
6/18/2020,11:46:05,11,13.4,49.62,5.18,575.24,7.97,0.17,0.44,11.18,0.45
6/18/2020,11:48:05,10,16.81,67.94,6.58,569.98,8.14,0.3,0.59,10.65,0.44
6/18/2020,11:50:05,9,18.39,83.34,7.82,568.14,8.25,0.23,0.41,9.95,0.43
6/18/2020,11:52:05,8,19.29,93.16,8.57,566.66,8.32,0.24,0.32,9.62,0.45
6/18/2020,11:54:05,7,20.04,101.86,9.24,566.02,8.37,0.28,0.31,9.44,0.47
6/18/2020,11:56:05,6,20.37,106.52,9.6,565.74,8.39,0.32,0.3,9.34,0.51
6/18/2020,11:58:05,5,20.49,108.3,9.74,565.46,8.4,0.3,0.33,9.29,0.62
6/18/2020,12:00:20,4,20.55,109.5,9.83,565.52,8.4,0.35,0.38,9.22,0.6
6/18/2020,12:02:15,3,20.62,110.6,9.91,565.56,8.4,0.35,0.34,9.16,0.64
6/18/2020,12:04:15,2,21.04,121.1,10.78,563.82,8.48,0.23,0.33,9.35,1.02
6/18/2020,12:06:15,1,21.74,121.4,10.66,566.88,8.46,0.28,0.43,8.77,1.28
6/18/2020,12:08:15,0,22.16,119.14,10.37,566.22,8.43,0.31,0.45,8.51,1.23
