sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
5/22/2020,11:04:00,20,10.07,72.06,8.11,575.44,8.19,0.17,0.6,10.87,0.83
5/22/2020,11:06:05,19,10.08,72.6,8.16,575.5,8.19,0.14,0.54,10.88,0.85
5/22/2020,11:08:05,18,10.23,76.34,8.56,574.62,8.22,0.11,0.48,10.82,0.83
5/22/2020,11:10:05,17,10.4,80.42,8.98,573.7,8.25,0.11,0.51,10.76,0.86
5/22/2020,11:12:05,16,10.43,81.26,9.07,573.48,8.26,0.1,0.51,10.76,0.83
5/22/2020,11:14:05,15,10.44,81.5,9.09,573.5,8.26,0.1,0.51,10.76,0.83
5/22/2020,11:16:05,14,10.48,81.98,9.13,573.42,8.26,0.11,0.49,10.74,0.78
5/22/2020,11:18:05,13,10.51,82.1,9.14,573.36,8.26,0.11,0.51,10.74,0.78
5/22/2020,11:20:05,12,10.62,82.9,9.2,573.2,8.26,0.09,0.48,10.71,0.75
5/22/2020,11:22:05,11,10.97,84.76,9.34,572.72,8.27,0.08,0.46,10.61,0.71
5/22/2020,11:24:00,10,11.36,85.8,9.36,572.48,8.27,0.05,0.39,10.55,0.67
5/22/2020,11:26:05,9,11.81,86,9.29,572,8.25,0.07,0.4,11.28,0.68
5/22/2020,11:28:05,8,11.92,85.8,9.25,572.14,8.25,0.05,0.35,11.16,0.64
5/22/2020,11:30:05,7,12.05,85.7,9.21,572.3,8.25,0.03,0.35,10.91,0.62
5/22/2020,11:32:05,6,12.51,87.5,9.31,572.6,8.26,0.05,0.37,10.5,0.63
5/22/2020,11:34:05,5,12.7,88,9.32,572.52,8.26,0.04,0.34,10.49,0.6
5/22/2020,11:36:05,4,12.84,88.44,9.34,572.5,8.26,0.05,0.34,10.45,0.59
5/22/2020,11:38:05,3,12.96,89,9.37,572.42,8.26,0.06,0.31,10.39,0.59
5/22/2020,11:40:05,2,13.32,90.04,9.41,572.4,8.26,0.05,0.34,10.39,0.59
5/22/2020,11:42:05,1,13.58,90.74,9.42,572.72,8.25,0.03,0.32,10.23,0.53
5/22/2020,11:44:05,0,13.85,91.9,9.49,572.3,8.25,0.03,0.29,10.16,0.52
