sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
5/27/2020,11:05:00,20,10.17,60.7,6.81,572.6,8,0.14,0.55,11.02,0.64
5/27/2020,11:07:10,19,10.25,64.4,7.22,571.76,8.03,0.13,0.52,11.01,0.58
5/27/2020,11:09:05,18,10.27,66.16,7.41,571.3,8.05,0.11,0.51,10.99,0.62
5/27/2020,11:11:05,17,10.34,71.18,7.96,570.14,8.11,0.1,0.46,10.96,0.56
5/27/2020,11:13:10,16,10.42,75.58,8.43,569.24,8.15,0.07,0.44,10.92,0.52
5/27/2020,11:15:10,15,10.56,70.1,7.8,570.4,8.09,0.06,0.45,10.95,0.53
5/27/2020,11:17:15,14,10.72,72.34,8.02,569.88,8.11,0.06,0.44,10.91,0.47
5/27/2020,11:19:10,13,10.94,72.64,8.01,569.7,8.11,0.06,0.44,10.88,0.5
5/27/2020,11:21:10,12,11.06,77.46,8.51,568.66,8.15,0.07,0.42,10.84,0.47
5/27/2020,11:23:05,11,11.21,77.2,8.46,568.8,8.14,0.05,0.4,10.81,0.46
5/27/2020,11:25:10,10,11.49,77.4,8.43,568.96,8.13,0.09,0.43,10.73,0.43
5/27/2020,11:27:05,9,11.65,78.7,8.53,568.66,8.14,0.05,0.36,10.68,0.42
5/27/2020,11:29:10,8,12.7,84,8.89,567,8.16,0.1,0.42,10.51,0.39
5/27/2020,11:31:05,7,13.15,84.8,8.9,566.98,8.15,0.07,0.37,10.42,0.39
5/27/2020,11:33:05,6,13.51,85.7,8.91,566.96,8.16,0.06,0.33,10.33,0.37
5/27/2020,11:35:05,5,14.24,87.98,9,567.06,8.16,0.06,0.33,10.19,0.4
5/27/2020,11:37:05,4,15.22,90,9.02,567.76,8.16,0.1,0.34,10.16,0.38
5/27/2020,11:39:05,3,15.31,90.1,9.01,568.18,8.17,0.1,0.36,10.21,0.35
5/27/2020,11:41:05,2,16.3,92.54,9.06,568.62,8.15,0.08,0.31,9.94,0.32
5/27/2020,11:43:10,1,18.07,95.96,9.06,570.84,8.14,0.11,0.32,9.5,0.29
5/27/2020,11:45:05,0,18.39,96.3,9.03,570.44,8.14,0.09,0.27,9.41,0.26
