sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
5/1/2020,12:25:00,20,7.81,98.5,11.7,568.32,8.22,2.17,0.76,10.77,1.52
5/1/2020,12:27:05,19,7.82,98.56,11.7,568.48,8.22,2.15,0.78,10.79,1.5
5/1/2020,12:29:05,18,7.85,98.8,11.73,568.54,8.23,2.17,0.76,10.79,1.51
5/1/2020,12:31:05,17,7.88,99.2,11.76,568.5,8.24,2.2,0.75,10.79,1.54
5/1/2020,12:33:05,16,7.94,100.04,11.85,568.4,8.25,2.2,0.78,10.77,1.53
5/1/2020,12:35:05,15,7.96,100.32,11.88,568.46,8.27,2.26,0.75,10.78,1.53
5/1/2020,12:37:20,14,7.95,100.4,11.89,568.4,8.28,2.2,0.75,10.78,1.53
5/1/2020,12:39:05,13,7.96,100.5,11.89,568.4,8.29,2.17,0.74,10.78,1.54
5/1/2020,12:41:00,12,7.96,100.5,11.9,568.4,8.3,2.22,0.75,10.78,1.5
5/1/2020,12:43:05,11,7.97,100.8,11.93,568.32,8.31,2.11,0.71,10.78,1.53
5/1/2020,12:45:05,10,7.98,101.02,11.95,568.4,8.32,2.2,0.73,10.78,1.53
5/1/2020,12:47:05,9,7.99,101.26,11.97,568.4,8.33,2.21,0.73,10.78,1.54
5/1/2020,12:49:20,8,8.02,101.5,12,568.46,8.34,2.13,0.74,10.78,1.56
5/1/2020,12:51:05,7,8.03,101.58,12,568.46,8.35,2.11,0.73,10.78,1.61
5/1/2020,12:53:05,6,8.05,101.9,12.03,568.46,8.36,2.05,0.72,10.78,1.59
5/1/2020,12:55:05,5,8.11,102.6,12.1,568.2,8.37,2.01,0.72,10.76,1.66
5/1/2020,12:57:05,4,8.14,103.1,12.15,568.26,8.38,1.96,0.71,10.77,1.67
5/1/2020,12:59:05,3,8.92,110.82,12.81,567.22,8.45,2.46,0.83,10.56,1.77
5/1/2020,13:01:05,2,9.28,113.12,12.97,567.96,8.47,2.62,0.9,10.45,1.77
5/1/2020,13:03:05,1,9.59,114.28,13,567.48,8.48,1.68,0.76,10.36,1.65
5/1/2020,13:05:05,0,9.64,114.56,13.02,567.68,8.46,1.13,0.66,10.34,1.66
