sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
5/6/2020,11:21:00,20,8.12,84.56,9.97,570.68,8.38,1.18,0.61,10.85,1.35
5/6/2020,11:23:10,19,8.19,89.94,10.58,570.04,8.42,1.19,0.6,10.88,1.27
5/6/2020,11:25:10,18,8.5,91.6,10.7,569.94,8.43,1.4,0.61,10.85,1.23
5/6/2020,11:27:05,17,8.68,93.4,10.86,569.9,8.44,1.35,0.6,10.8,1.31
5/6/2020,11:29:10,16,8.86,94.62,10.96,569.9,8.45,1.32,0.58,10.76,1.41
5/6/2020,11:31:10,15,8.9,95.42,11.04,569.5,8.46,1.58,0.63,10.75,1.37
5/6/2020,11:33:10,14,8.95,96.06,11.1,569.44,8.46,1.94,0.68,10.73,1.36
5/6/2020,11:35:10,13,9.14,99,11.39,568.94,8.48,2.52,0.74,10.65,1.48
5/6/2020,11:37:10,12,9.21,100.6,11.55,568.6,8.49,2.54,0.7,10.63,1.36
5/6/2020,11:39:10,11,9.28,101.8,11.67,568.3,8.5,2.47,0.69,10.63,1.4
5/6/2020,11:41:10,10,9.4,103.74,11.86,567.9,8.52,1.9,0.62,10.59,1.33
5/6/2020,11:43:10,9,9.4,103.8,11.87,567.8,8.52,1.92,0.65,10.58,1.33
5/6/2020,11:45:10,8,9.43,104.46,11.93,567.7,8.52,1.94,0.62,10.57,1.44
5/6/2020,11:47:10,7,9.46,104.9,11.97,567.6,8.52,2.13,0.63,10.57,1.38
5/6/2020,11:49:10,6,9.47,105.1,11.99,567.6,8.52,2.02,0.64,10.57,1.39
5/6/2020,11:51:10,5,9.49,105.8,12.07,567.42,8.52,1.97,0.65,10.55,1.38
5/6/2020,11:53:10,4,9.5,106.92,12.19,567.18,8.53,2.02,0.63,10.55,1.4
5/6/2020,11:55:10,3,9.54,109.68,12.5,566.66,8.55,2.49,0.8,10.53,1.48
5/6/2020,11:57:10,2,9.66,115.2,13.08,565.6,8.59,3.37,1.03,10.46,1.61
5/6/2020,11:59:10,1,10.02,118.6,13.36,565.14,8.6,2.81,0.98,10.28,1.56
5/6/2020,12:01:10,0,11.24,114.42,12.53,567.26,8.54,0.38,0.36,9.74,1.12
