sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
6/10/2020,12:15:00,20,10.35,24.42,2.73,579.78,7.73,0.29,0.83,11.56,0.53
6/10/2020,12:17:00,19,10.35,24.48,2.74,579.8,7.74,0.22,0.68,11.54,0.57
6/10/2020,12:19:00,18,10.69,38.46,4.26,577.66,7.86,0.16,0.57,11.42,0.54
6/10/2020,12:21:10,17,10.88,41.3,4.56,576.22,7.88,0.16,0.55,11.4,0.53
6/10/2020,12:23:00,16,11,44.1,4.85,575.94,7.91,0.13,0.52,11.36,0.58
6/10/2020,12:25:00,15,11.18,47.42,5.2,575.52,7.94,0.17,0.51,11.33,0.54
6/10/2020,12:27:00,14,11.21,48.42,5.3,575.26,7.95,0.16,0.51,11.3,0.61
6/10/2020,12:29:10,13,11.23,48.3,5.29,575.26,7.95,0.15,0.52,11.31,0.52
6/10/2020,12:31:05,12,11.26,47.76,5.23,575.28,7.95,0.15,0.49,11.31,0.54
6/10/2020,12:33:05,11,11.38,48.2,5.26,575.12,7.95,0.14,0.48,11.3,0.51
6/10/2020,12:35:05,10,11.79,49.2,5.32,575,7.96,0.18,0.49,11.24,0.51
6/10/2020,12:37:05,9,12.77,58.34,6.17,572.92,8.03,0.22,0.52,11.02,0.49
6/10/2020,12:39:05,8,15.28,74.58,7.46,570.02,8.16,0.38,0.65,10.55,0.49
6/10/2020,12:41:05,7,16.96,85.18,8.23,568.94,8.24,0.39,0.56,10.2,0.44
6/10/2020,12:43:05,6,17.52,89.12,8.51,568.1,8.28,0.32,0.44,10.1,0.42
6/10/2020,12:45:00,5,19.31,99.92,9.2,566.88,8.31,0.35,0.39,9.78,0.43
6/10/2020,12:47:05,4,19.65,102.4,9.36,566.06,8.35,0.39,0.37,9.68,0.43
6/10/2020,12:49:00,3,20.05,105.64,9.58,564.64,8.37,0.38,0.3,9.56,0.43
6/10/2020,12:51:05,2,20.53,107.38,9.65,564.98,8.38,0.4,0.32,9.35,0.46
6/10/2020,12:53:00,1,20.94,109.42,9.75,565.12,8.39,0.41,0.3,9.15,0.57
6/10/2020,12:55:05,0,23.04,111.8,9.57,567.6,8.39,0.27,0.25,8.43,0.53
