sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
5/12/2020,11:05:00,20,9.72,95.2,10.8,564.24,8.57,1.5,0.67,10.38,1.38
5/12/2020,11:07:05,19,9.67,95.36,10.83,564.94,8.56,1.47,0.65,10.45,1.48
5/12/2020,11:09:05,18,9.66,95.4,10.84,565.06,8.56,1.42,0.65,10.46,1.44
5/12/2020,11:11:05,17,9.65,95.6,10.86,565.1,8.56,1.38,0.63,10.48,1.4
5/12/2020,11:13:05,16,9.65,95.7,10.87,565.2,8.56,1.36,0.61,10.48,1.42
5/12/2020,11:15:05,15,9.66,95.8,10.89,565.1,8.56,1.42,0.55,10.48,1.37
5/12/2020,11:17:10,14,9.66,95.9,10.9,565.16,8.57,1.55,0.56,10.48,1.41
5/12/2020,11:19:05,13,9.66,95.98,10.9,565.18,8.57,1.41,0.57,10.49,1.43
5/12/2020,11:21:05,12,9.66,96,10.91,565.16,8.57,1.44,0.56,10.49,1.42
5/12/2020,11:23:05,11,9.66,96.2,10.93,565.12,8.57,1.55,0.59,10.5,1.42
5/12/2020,11:25:05,10,9.66,96.4,10.95,565.1,8.57,1.41,0.53,10.48,1.43
5/12/2020,11:27:05,9,9.66,96.6,10.97,565.1,8.57,1.43,0.58,10.49,1.44
5/12/2020,11:29:10,8,9.67,96.86,11,565.08,8.57,1.39,0.55,10.49,1.45
5/12/2020,11:31:05,7,9.68,97.3,11.05,564.9,8.57,1.36,0.55,10.48,1.41
5/12/2020,11:33:10,6,9.69,97.7,11.09,564.82,8.57,1.37,0.55,10.48,1.4
5/12/2020,11:35:05,5,9.71,98.58,11.19,564.66,8.58,1.44,0.57,10.49,1.44
5/12/2020,11:37:05,4,9.74,99.9,11.33,564.4,8.59,1.53,0.58,10.47,1.46
5/12/2020,11:39:05,3,9.8,101.9,11.54,564,8.6,1.7,0.6,10.46,1.49
5/12/2020,11:41:05,2,9.86,102.9,11.63,563.8,8.61,1.55,0.6,10.43,1.56
5/12/2020,11:43:05,1,10.51,104.16,11.6,563.12,8.6,1.32,0.55,10.15,1.41
5/12/2020,11:45:05,0,10.93,104.78,11.55,563.74,8.59,0.55,0.37,9.99,1.27
