sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
3/31/2020,10:52:00,20,3.59,130.3,17.23,567.7,8.21,5.3,1.64,11.03,1.88
3/31/2020,10:54:00,19,3.59,130.6,17.28,568.08,8.01,6.28,1.67,11.09,2
3/31/2020,10:57:00,18,3.57,130.68,17.29,568.28,7.95,5.35,1.65,11.09,2.02
3/31/2020,10:59:00,17,3.59,130.96,17.32,568.06,7.93,6.08,1.7,11.1,1.94
3/31/2020,11:01:00,16,3.59,131.28,17.36,567.96,7.91,5.92,1.53,11.1,2.02
3/31/2020,11:03:00,15,3.59,131.32,17.37,568.06,7.89,5.33,1.59,11.12,1.94
3/31/2020,11:05:15,14,3.6,131.82,17.43,567.74,7.89,4.7,1.48,11.12,1.9
3/31/2020,11:07:30,13,3.6,131.94,17.45,567.76,7.88,4.65,1.43,11.11,1.96
3/31/2020,11:09:30,12,3.61,131.78,17.42,567.98,7.87,5.26,1.5,11.12,1.95
3/31/2020,11:12:00,11,3.6,131.8,17.43,568.22,7.86,5.34,1.53,11.13,2
3/31/2020,11:14:00,10,3.6,132,17.46,567.92,7.86,5.24,1.54,11.13,1.93
3/31/2020,11:16:00,9,3.6,132.24,17.49,567.8,7.86,4.98,1.46,11.13,2.01
3/31/2020,11:18:00,8,3.6,132.26,17.49,567.8,7.86,5.85,1.51,11.13,2.04
3/31/2020,11:20:00,7,3.6,132.32,17.5,567.9,7.86,5.08,1.46,11.13,1.91
3/31/2020,11:22:00,6,3.6,132.74,17.55,567.62,7.86,5.06,1.43,11.11,1.96
3/31/2020,11:24:00,5,3.59,132.66,17.55,567.9,7.86,5.56,1.44,11.13,1.95
3/31/2020,11:26:00,4,3.6,133,17.59,567.6,7.86,5.06,1.39,11.12,1.96
3/31/2020,11:28:00,3,3.6,133.16,17.61,567.5,7.86,5.71,1.35,11.12,1.94
3/31/2020,11:30:00,2,3.6,133.3,17.63,567.4,7.86,5.5,1.42,11.12,1.85
3/31/2020,11:32:05,1,3.6,133.32,17.63,567.48,7.86,5.52,1.49,11.12,1.94
